Brand,Model,Year of Manufacture,Transmission,Fuel Type,Engine Capacity (cc),Mileage (km),Price Rs.
Honda,Civic Tech Pack Sedan,2019,Automatic,Petrol,1000,55000,"Rs. 14,250,000"
BMW,320D,2013,Automatic,Diesel,1990,107000,"Rs. 19,750,000"
Volkswagen,Transporter,1987,Manual,Diesel,3000,0,"Rs. 1,600,000"
Toyota,Camry,2015,Automatic,Hybrid,2500,105000,"Rs. 19,500,000"
Honda,Ax 1,2009,,,250,0,"Rs. 680,000"
Suzuki,Wagon R Stringray,2017,Automatic,Hybrid,660,126000,"Rs. 6,925,000"
Toyota,Axio Hybrid G Grade,2016,Automatic,Hybrid,1500,129000,"Rs. 11,675,000"
Honda,Diyo,2016,,,110,40852,"Rs. 497,000"
Bajaj,Discover 100M,2015,,,100,31400,"Rs. 340,000"
Toyota,CHR,2018,Automatic,Petrol,1190,66065,Negotiable
Toyota,Avanza,2011,Automatic,Petrol,1500,116000,"Rs. 7,190,000"
Volkswagen,T-Cross R-Line,2020,Automatic,Petrol,1000,60500,"Rs. 14,850,000"
Mitsubishi,Xpander,2019,Automatic,Petrol,1500,124000,"Rs. 14,900,000"
TVS,Scoty Plus,2018,,,90,38000,Negotiable
Bajaj,CT-100,2013,,,100,55000,"Rs. 335,000"
Suzuki,GN 125,2008,,,125,0,"Rs. 390,000"
Isuzu,Elf,1999,Manual,Diesel,-,0,"Rs. 500,000"
MG,ZS ESSENCE FULLY LOADED,2019,Automatic,Petrol,1000,96000,Negotiable
Mitsubishi,4DR5 J32,0,Manual,Diesel,-,0,"Rs. 2,375,000"
Bajaj,Pulsar NS 200,2018,,,200,5939,"Rs. 830,000"
Bajaj,Discover 150,2011,,,150,1234,"Rs. 135,000(Ongoing Lease)"
Atco,Sr,2020,,,125,36000,"Rs. 320,000"
Honda,Pcx,2014,,,125,73750,"Rs. 845,000"
Mitsubishi,Canter,1989,Manual,Diesel,2600,1850002,"Rs. 2,250,000"
Bajaj,4 Stroke,2014,Manual,Petrol,205,-,"Rs. 1,330,000"
Bajaj,Discover,2011,,,125,-,"Rs. 275,000"
Bajaj,NS 160,2018,,,160,22571,"Rs. 610,000"
Zotye,Z100,2020,Manual,Petrol,1000,70000,"Rs. 3,295,000"
Toyota,Aqua S Grade,2013,Automatic,Petrol,1500,-,Negotiable(Ongoing Lease)
Bajaj,CT-100,2005,,,100,65434,"Rs. 210,000"
Bajaj,2 stroke,1997,Manual,Petrol,175,-,"Rs. 275,000"
Ranomoto,PATTAYA,2016,,,125,15238,"Rs. 128,000"
Ford,Escort Convertable,1993,Manual,Petrol,1500,45000,Negotiable
Bajaj,Boxer,2008,,,100,100,"Rs. 173,000"
Hero,Maestro Edge,2018,,,110,41400,"Rs. 350,000"
Bajaj,Discover 125,2007,,,125,50000,"Rs. 210,000"
Toyota,ROOMY,2023,Automatic,Petrol,1000,42000,Negotiable
Singer,Safari 4s,2016,,,48,1112,"Rs. 120,000"
Bajaj,4 Stroke,2013,Manual,Petrol,205,-,"Rs. 1,285,000"
Bajaj,Discover 100,2015,,,100,10000,"Rs. 190,000"
Toyota,YARIS G GRADE,2022,Automatic,Petrol,1000,25000,"Rs. 11,000,000"
Tata,Dimo Lokka,2016,Manual,Diesel,-,-,"Rs. 2,990,000"
Honda,Fit Shuttle GP7,2018,Automatic,Petrol,1500,118350,"Rs. 13,250,000"
Toyota,AXIO,2015,Automatic,Hybrid,1500,154000,"Rs. 11,500,000"
Mitsubishi,Lancer CK8A,1997,Automatic,Diesel,2000,200,"Rs. 3,450,000"
Honda,Civic,2018,Automatic,Petrol,1000,51000,"Rs. 14,000,000"
Suzuki,Wagon R,2006,Manual,Petrol,1061,66400,Negotiable
Suzuki,Spacia Xs Turbo,2018,Automatic,Hybrid,660,26201,Negotiable
Nissan,B310,1978,Manual,Petrol,1400,86000,"Rs. 790,000"
Toyota,Allion,2005,Automatic,Petrol,1490,1820000,Negotiable
Suzuki,ZEN,2007,Manual,Petrol,1000,-,Negotiable
Nissan,Nissan,2003,Automatic,Petrol,-,263500,"Rs. 2,650,000"
Ford,Mondeo,2003,Manual,Petrol,1800,-,"Rs. 1,860,000"
Toyota,Ke 74,1985,Manual,Petrol,1500,-,"Rs. 1,185,000"
Suzuki,Alto,2023,Automatic,Petrol,660,5900,Negotiable
